arm,category,component,count,max,mean,min,stage,std
H,candle,gap_ss2d_l1,18,0.8830691576004028,0.880771815776825,0.8796020746231079,1,0.0008628625655546784
H,candle,gap_normal,54,0.6748403906822205,0.3333333730697632,0.040193408727645874,2,0.25913044810295105
H,candle,gap_abnormal,54,0.6956418752670288,0.333333283662796,0.01924615353345871,2,0.2763262987136841
H,candle,ss2d_normal,54,1.0,0.3333333432674408,2.3470758207420234e-34,2,0.471404492855072
H,candle,ss2d_abnormal,54,1.0,0.3333333432674408,1.4993893568275543e-43,2,0.471404492855072
H,candle,final_normal,54,0.6073563098907471,0.3333333432674408,0.1361740678548813,2,0.19777017831802368
H,candle,final_abnormal,54,0.6260776519775391,0.3333333432674408,0.11732153594493866,2,0.21279719471931458
H,candle,entropy_normal,18,0.9372419118881226,0.9269000291824341,0.9233484268188477,2,0.0035648569464683533
H,candle,entropy_abnormal,18,0.9064743518829346,0.8968940377235413,0.8936182260513306,2,0.003296278417110443
H,candle,routing_l1,18,0.04144904017448425,0.038657426834106445,0.037705034017562866,2,0.0009593436261638999
H,candle,gap_ss2d_l1,18,1.9196131229400635,1.9166512489318848,1.9077035188674927,2,0.0030417046509683132
H,candle,gap_normal,54,0.5687187910079956,0.3333333432674408,0.08449744433164597,3,0.1838630735874176
H,candle,gap_abnormal,54,0.5623733401298523,0.3333333432674408,0.04625860974192619,3,0.20378974080085754
H,candle,ss2d_normal,54,1.0,0.3333333432674408,2.1022742328475995e-17,3,0.4713064432144165
H,candle,ss2d_abnormal,54,1.0,0.3333333432674408,1.5722782915427641e-22,3,0.4706593155860901
H,candle,final_normal,54,0.6116708517074585,0.3333333432674408,0.07604769617319107,3,0.19431652128696442
H,candle,final_abnormal,54,0.6052243709564209,0.3333333432674408,0.041632749140262604,3,0.20868384838104248
H,candle,entropy_normal,18,1.019115924835205,0.9142460227012634,0.8600512742996216,3,0.048295605927705765
H,candle,entropy_abnormal,18,0.9952354431152344,0.8636943101882935,0.8038423657417297,3,0.05994297191500664
H,candle,routing_l1,18,0.0817229151725769,0.07710915803909302,0.07492943108081818,3,0.002176001900807023
H,candle,gap_ss2d_l1,18,1.8274511098861694,1.0611612796783447,0.8590419292449951,3,0.3411473035812378
A,candle,gap_normal,54,0.5737411379814148,0.33333340287208557,0.06984788924455643,1,0.20602774620056152
A,candle,gap_abnormal,54,0.539161205291748,0.3333333730697632,0.03554755821824074,1,0.2154380828142166
A,candle,ss2d_normal,54,1.0,0.3333333432674408,5.610945554492237e-24,1,0.471404492855072
A,candle,ss2d_abnormal,54,1.0,0.3333333432674408,9.13648658357412e-31,1,0.471404492855072
A,candle,final_normal,54,0.5163670182228088,0.3333333730697632,0.1628631055355072,1,0.14427746832370758
A,candle,final_abnormal,54,0.48524507880210876,0.333333283662796,0.13199280202388763,1,0.1482052206993103
A,candle,entropy_normal,18,1.0026479959487915,1.0020031929016113,1.0015830993652344,1,0.000278485007584095
A,candle,entropy_abnormal,18,0.9865033626556396,0.9860467910766602,0.985750138759613,1,0.0001968860306078568
A,candle,routing_l1,18,0.12398438155651093,0.12378522008657455,0.12348183989524841,1,0.0001316614361712709
A,candle,gap_ss2d_l1,18,1.8603042364120483,1.8596216440200806,1.858569860458374,1,0.00045337952906265855
A,candle,gap_normal,54,0.5519697666168213,0.3333333432674408,0.08147741854190826,2,0.1916893869638443
A,candle,gap_abnormal,54,0.5375980734825134,0.333333283662796,0.05525016039609909,2,0.2022865116596222
A,candle,ss2d_normal,54,0.9999971389770508,0.3333333432674408,1.4503354113164075e-26,2,0.47140246629714966
A,candle,ss2d_abnormal,54,0.999821126461029,0.3333333432674408,1.655199136812348e-31,2,0.47127795219421387
A,candle,final_normal,54,0.5967724919319153,0.3333333730697632,0.07332967221736908,2,0.21200904250144958
A,candle,final_abnormal,54,0.5838203430175781,0.3333333432674408,0.04972514137625694,2,0.21794940531253815
